Index,Acceleration_X,Acceleration_Y,Acceleration_Z,BPM,Activity
249,0.024,0.943,0.269,61,0
250,-0.048,0.965,0.281,61,0
251,-0.088,0.97,0.303,61,0
252,-0.086,0.963,0.314,61,0
253,-0.082,0.954,0.312,61,0
254,-0.088,0.948,0.313,61,0
255,-0.097,0.933,0.31,61,0
256,-0.117,0.922,0.325,61,0
257,-0.127,0.919,0.337,61,0
258,-0.133,0.94,0.342,61,0
259,-0.152,0.965,0.38,61,0
260,-0.16,0.937,0.391,62,0
261,-0.195,0.906,0.378,62,0
262,-0.251,0.904,0.411,62,0
263,-0.3,0.89,0.447,62,0
264,-0.278,0.883,0.42,62,0
265,-0.189,0.907,0.365,62,0
266,-0.167,0.933,0.351,62,0
267,-0.214,0.944,0.351,62,0
268,-0.224,0.939,0.327,62,0
269,-0.189,0.938,0.307,62,0
270,-0.176,0.948,0.302,62,0
271,-0.169,0.951,0.297,62,0
272,-0.155,0.945,0.285,62,0
273,-0.162,0.949,0.278,62,0
274,-0.175,0.95,0.272,62,0
275,-0.167,0.95,0.266,62,0
276,-0.154,0.967,0.275,62,0
277,-0.14,0.968,0.279,62,0
278,-0.135,0.959,0.273,62,0
279,-0.167,0.976,0.288,62,0
280,-0.204,0.989,0.307,62,0
281,-0.149,0.938,0.301,62,0
282,-0.018,0.902,0.282,62,0
283,0.031,0.946,0.291,62,0
284,-0.022,0.989,0.305,62,0
285,-0.068,0.986,0.301,62,0
286,-0.059,0.955,0.292,62,0
287,-0.032,0.935,0.279,62,0
288,-0.033,0.947,0.279,62,0
289,-0.054,0.968,0.29,62,0
290,-0.076,0.966,0.307,62,0
291,-0.09,0.956,0.319,62,0
292,-0.096,0.961,0.329,62,0
293,-0.095,0.96,0.339,62,0
294,-0.1,0.953,0.334,62,0
295,-0.123,0.956,0.331,62,0
296,-0.132,0.942,0.34,62,0
297,-0.145,0.934,0.347,62,0
298,-0.181,0.95,0.356,62,0
299,-0.172,0.946,0.341,62,0
300,-0.14,0.94,0.313,62,0
301,-0.156,0.959,0.32,62,0
302,-0.136,0.964,0.309,62,0
303,-0.087,0.945,0.267,62,0
304,-0.09,0.944,0.249,62,0
305,-0.101,0.958,0.263,62,0
306,-0.113,0.964,0.283,62,0
307,-0.14,0.972,0.297,62,0
308,-0.17,0.976,0.301,62,0
309,-0.184,0.964,0.299,62,0
310,-0.183,0.956,0.299,63,0
311,-0.153,0.946,0.297,63,0
312,-0.143,0.941,0.302,63,0
313,-0.169,0.945,0.307,63,0
314,-0.193,0.942,0.304,63,0
315,-0.225,0.967,0.325,63,0
316,-0.268,0.973,0.343,63,0
317,-0.231,0.918,0.334,63,0
318,-0.097,0.906,0.327,63,0
319,-0.042,0.949,0.336,63,0
320,-0.09,0.982,0.342,63,0
321,-0.134,0.978,0.317,63,0
322,-0.137,0.942,0.281,63,0
323,-0.111,0.918,0.272,63,0
324,-0.098,0.928,0.289,63,0
325,-0.106,0.948,0.31,63,0
326,-0.112,0.945,0.322,63,0
327,-0.117,0.93,0.322,63,0
328,-0.128,0.93,0.319,63,0
329,-0.15,0.945,0.322,63,0
330,-0.187,0.954,0.334,63,0
331,-0.22,0.951,0.351,63,0
332,-0.242,0.94,0.373,63,0
333,-0.285,0.929,0.389,63,0
334,-0.305,0.935,0.38,63,0
335,-0.248,0.936,0.352,63,0
336,-0.195,0.93,0.328,63,0
337,-0.2,0.947,0.313,63,0
338,-0.216,0.965,0.294,63,0
339,-0.19,0.95,0.252,63,0
340,-0.145,0.927,0.211,63,0
341,-0.123,0.925,0.203,63,0
342,-0.119,0.947,0.215,63,0
343,-0.118,0.972,0.229,63,0
344,-0.115,0.981,0.237,63,0
345,-0.116,0.977,0.235,63,0
346,-0.132,0.975,0.233,63,0
347,-0.139,0.978,0.237,63,0
348,-0.121,0.987,0.251,63,0
349,-0.144,1.028,0.285,63,0
350,-0.212,1.114,0.316,63,0
351,-0.184,1.101,0.299,63,0
352,-0.063,0.974,0.299,63,0
353,0.036,0.953,0.243,63,0
354,0.019,1.001,0.064,63,0
355,-0.047,0.979,0.067,63,0
356,-0.042,0.904,0.177,63,0
357,-0.082,0.855,0.21,63,0
358,-0.177,0.834,0.294,63,0
359,-0.234,0.804,0.373,63,0
360,-0.195,0.805,0.427,63,0
361,-0.156,0.83,0.586,63,0
362,-0.178,0.801,0.694,63,0
363,-0.19,0.766,0.644,63,0
364,-0.232,0.82,0.581,63,0
365,-0.325,0.999,0.471,63,0
366,-0.484,1.218,0.261,63,0
367,-0.568,1.29,0.152,63,0
368,-0.547,1.149,0.168,63,0
369,-0.444,0.892,0.229,63,0
370,-0.288,0.625,0.35,63,0
371,-0.24,0.418,0.441,63,0
372,-0.219,0.362,0.437,63,0
373,-0.287,0.537,0.335,63,0
374,-0.5,0.863,0.268,63,0
375,-0.589,1.086,0.247,63,0
376,-0.518,1.135,0.217,63,0
377,-0.39,1.121,0.199,63,0
378,-0.264,1.079,0.151,63,0
379,-0.23,1.031,0.113,63,0
380,-0.286,1.001,0.116,63,0
381,-0.351,0.972,0.131,63,0
382,-0.346,0.971,0.134,63,0
383,-0.269,1.044,0.102,63,0
384,-0.225,1.164,0.047,63,0
385,-0.217,1.158,0.043,63,0
386,-0.17,1.008,0.11,63,0
387,-0.113,0.91,0.15,63,0
388,-0.124,0.909,0.129,63,0
389,-0.184,0.92,0.118,63,0
390,-0.223,0.892,0.155,63,0
391,-0.237,0.853,0.2,63,0
392,-0.254,0.858,0.23,63,0
393,-0.291,0.896,0.256,63,0
394,-0.323,0.921,0.278,63,0
395,-0.333,0.931,0.303,63,0
396,-0.32,0.926,0.332,63,0
397,-0.293,0.904,0.345,63,0
398,-0.281,0.893,0.334,63,0
399,-0.294,0.915,0.308,63,0
400,-0.326,1.028,0.285,63,0
401,-0.379,1.17,0.281,63,0
402,-0.405,1.165,0.269,63,0
403,-0.334,1.01,0.168,63,0
404,-0.317,1.025,0.144,63,0
405,-0.291,1.035,0.143,63,0
406,-0.266,1.008,0.136,63,0
407,-0.254,0.959,0.127,63,0
408,-0.254,0.912,0.119,63,0
409,-0.261,0.874,0.115,63,0
410,-0.268,0.84,0.123,63,0
411,-0.266,0.807,0.145,63,0
412,-0.257,0.781,0.167,63,0
413,-0.252,0.792,0.189,63,0
414,-0.248,0.854,0.199,63,0
415,-0.235,0.987,0.173,63,0
416,-0.225,1.216,0.115,63,0
417,-0.225,1.355,0.066,63,0
418,-0.221,1.251,0.092,63,0
419,-0.197,1.083,0.157,63,0
420,-0.179,0.999,0.159,63,0
421,-0.199,0.962,0.127,63,0
422,-0.25,0.929,0.13,63,0
423,-0.301,0.884,0.169,63,0
424,-0.321,0.84,0.208,63,0
425,-0.318,0.834,0.229,63,0
426,-0.311,0.858,0.248,63,0
427,-0.309,0.885,0.27,63,0
428,-0.306,0.899,0.295,63,0
429,-0.294,0.891,0.322,63,0
430,-0.274,0.888,0.334,63,0
431,-0.265,0.916,0.324,63,0
432,-0.279,0.992,0.297,63,0
433,-0.311,1.138,0.278,63,0
434,-0.343,1.205,0.284,63,0
435,-0.339,1.099,0.275,63,0
436,-0.302,1.008,0.222,63,0
437,-0.288,1.02,0.174,63,0
438,-0.304,1.047,0.167,63,0
439,-0.309,1.012,0.171,63,0
440,-0.296,0.939,0.167,63,0
441,-0.289,0.875,0.161,63,0
442,-0.289,0.833,0.154,63,0
443,-0.286,0.807,0.161,63,0
444,-0.296,0.785,0.181,63,0
445,-0.319,0.78,0.195,63,0
446,-0.335,0.814,0.202,63,0
447,-0.322,0.86,0.204,63,0
448,-0.285,0.888,0.2,63,0
449,-0.254,0.978,0.177,63,0
450,-0.233,1.178,0.125,63,0
451,-0.218,1.262,0.1,63,0
452,-0.21,1.155,0.147,63,0
453,-0.2,1.058,0.192,63,0
454,-0.176,0.997,0.195,63,0
455,-0.15,0.918,0.186,63,0
456,-0.167,0.863,0.188,63,0
457,-0.221,0.86,0.203,63,0
458,-0.261,0.891,0.224,63,0
459,-0.282,0.919,0.249,63,0
460,-0.3,0.922,0.277,63,0
461,-0.31,0.909,0.304,63,0
462,-0.301,0.896,0.319,63,0
463,-0.277,0.892,0.318,63,0
464,-0.257,0.905,0.303,63,0
465,-0.257,0.957,0.277,63,0
466,-0.287,1.09,0.26,63,0
467,-0.334,1.189,0.265,63,0
468,-0.338,1.135,0.249,63,0
469,-0.302,1.038,0.198,63,0
470,-0.285,1.011,0.155,63,0
471,-0.29,1.034,0.127,63,0
472,-0.284,1.037,0.104,63,0
473,-0.269,1.011,0.092,63,0
474,-0.258,0.97,0.088,63,0
475,-0.26,0.91,0.099,63,0
476,-0.271,0.861,0.136,63,0
477,-0.271,0.843,0.164,63,0
478,-0.26,0.831,0.175,63,0
479,-0.263,0.81,0.19,63,0
480,-0.28,0.817,0.211,63,0
481,-0.29,0.882,0.217,63,0
482,-0.276,0.99,0.189,63,0
483,-0.256,1.119,0.145,63,0
484,-0.244,1.232,0.115,63,0
485,-0.244,1.235,0.116,63,0
486,-0.246,1.1,0.148,63,0
487,-0.231,0.965,0.161,63,0
488,-0.211,0.933,0.136,63,0
489,-0.225,0.948,0.12,63,0
490,-0.261,0.941,0.126,63,0
491,-0.289,0.916,0.148,63,0
492,-0.293,0.899,0.177,63,0
493,-0.276,0.894,0.191,63,0
494,-0.27,0.897,0.196,63,0
495,-0.284,0.894,0.218,63,0
496,-0.294,0.873,0.254,63,0
497,-0.293,0.863,0.279,63,0
498,-0.291,0.898,0.281,63,0
499,-0.291,0.972,0.269,63,0
500,-0.312,1.086,0.251,63,0
501,-0.346,1.173,0.247,63,0
502,-0.354,1.139,0.242,63,0
503,-0.335,1.052,0.214,63,0
504,-0.329,1.011,0.177,63,0
505,-0.348,1.019,0.15,63,0
506,-0.353,1.032,0.127,63,0
507,-0.326,1.023,0.11,63,0
508,-0.291,0.994,0.102,63,0
509,-0.273,0.953,0.093,63,0
510,-0.269,0.913,0.093,63,0
511,-0.267,0.875,0.103,63,0
512,-0.267,0.839,0.115,63,0
513,-0.262,0.823,0.133,63,0
514,-0.262,0.843,0.165,63,0
515,-0.261,0.881,0.195,63,0
516,-0.234,0.947,0.191,63,0
517,-0.2,1.079,0.154,63,0
518,-0.195,1.214,0.113,63,0
519,-0.218,1.189,0.118,63,0
520,-0.233,1.045,0.17,63,0
521,-0.208,0.959,0.192,63,0
522,-0.173,0.946,0.17,63,0
523,-0.173,0.94,0.155,63,0
524,-0.21,0.916,0.177,63,0
525,-0.249,0.878,0.218,63,0
526,-0.275,0.858,0.249,63,0
527,-0.294,0.876,0.256,63,0
528,-0.307,0.901,0.262,63,0
529,-0.317,0.902,0.286,63,0
530,-0.314,0.882,0.311,63,0
531,-0.293,0.867,0.31,63,0
532,-0.275,0.889,0.295,63,0
533,-0.28,0.944,0.28,63,0
534,-0.306,1.039,0.264,63,0
535,-0.34,1.154,0.256,63,0
536,-0.361,1.197,0.242,63,0
537,-0.351,1.136,0.208,63,0
538,-0.333,1.039,0.165,63,0
539,-0.326,0.984,0.127,63,0
540,-0.324,0.979,0.103,63,0
541,-0.344,0.984,0.121,63,0
542,-0.37,0.985,0.153,63,0
543,-0.349,0.982,0.161,63,0
544,-0.305,0.959,0.162,63,0
545,-0.295,0.919,0.176,63,0
546,-0.311,0.873,0.193,63,0
547,-0.326,0.822,0.193,63,0
548,-0.34,0.772,0.183,63,0
549,-0.353,0.747,0.173,63,0
550,-0.353,0.769,0.166,63,0
551,-0.331,0.849,0.154,63,0
552,-0.306,0.975,0.121,63,0
553,-0.304,1.102,0.092,63,0
554,-0.325,1.135,0.123,63,0
555,-0.331,1.071,0.185,63,0
556,-0.29,1.025,0.198,63,0
557,-0.229,1.018,0.165,63,0
558,-0.214,1.001,0.153,63,0
559,-0.247,0.96,0.171,63,0
560,-0.278,0.913,0.186,63,0
561,-0.294,0.885,0.194,63,0
562,-0.305,0.883,0.2,63,0
563,-0.313,0.888,0.211,63,0
564,-0.321,0.881,0.233,63,0
565,-0.327,0.869,0.261,63,0
566,-0.313,0.876,0.274,63,0
567,-0.29,0.912,0.265,63,0
568,-0.286,0.977,0.252,63,0
569,-0.307,1.081,0.247,63,0
570,-0.333,1.156,0.245,63,0
571,-0.334,1.128,0.224,63,0
572,-0.313,1.045,0.184,63,0
573,-0.3,0.994,0.142,63,0
574,-0.317,1.006,0.105,63,0
575,-0.385,1.04,0.072,63,0
576,-0.47,1.052,0.062,63,0
577,-0.546,1.043,0.118,63,0
578,-0.614,1.024,0.221,63,0
579,-0.625,0.993,0.313,63,0
580,-0.681,0.949,0.362,63,0
581,-0.785,0.909,0.385,63,0
582,-0.813,0.867,0.383,63,0
583,-0.765,0.799,0.376,63,0
584,-0.564,0.708,0.43,63,0
585,-0.316,0.62,0.504,63,0
586,-0.156,0.575,0.584,63,0
587,-0.043,0.552,0.676,63,0
588,0.03,0.518,0.726,63,0
589,0.076,0.484,0.744,63,0
590,0.121,0.448,0.762,63,0
591,0.149,0.398,0.777,63,0
592,0.182,0.344,0.784,63,0
593,0.222,0.296,0.791,63,0
594,0.244,0.259,0.796,63,0
595,0.281,0.23,0.793,63,0
596,0.307,0.215,0.795,63,0
597,0.316,0.213,0.806,63,0
598,0.34,0.218,0.813,63,0
599,0.358,0.222,0.829,63,0
600,0.37,0.219,0.849,64,0
601,0.38,0.221,0.87,64,0
602,0.36,0.222,0.903,64,0
603,0.329,0.199,0.951,64,0
604,0.304,0.164,1.022,64,0
605,0.252,0.143,1.081,64,0
606,0.213,0.13,1.076,64,0
607,0.183,0.114,1.033,64,0
608,0.142,0.101,0.994,64,0
609,0.121,0.099,0.95,64,0
610,0.105,0.104,0.914,64,0
611,0.108,0.114,0.901,64,0
612,0.132,0.123,0.896,64,0
613,0.163,0.116,0.894,64,0
614,0.194,0.097,0.906,64,0
615,0.209,0.081,0.929,64,0
616,0.211,0.073,0.953,64,0
617,0.206,0.073,0.974,64,0
618,0.189,0.093,0.992,64,0
619,0.175,0.129,1,64,0
620,0.169,0.16,1.002,64,0
621,0.157,0.187,1.018,64,0
622,0.138,0.231,1.039,64,0
623,0.085,0.295,1.051,64,0
624,0.029,0.353,1.047,64,0
625,0.02,0.367,1.006,64,0
626,0.04,0.34,0.972,64,0
627,0.065,0.284,0.976,64,0
628,0.101,0.213,0.966,64,0
629,0.144,0.158,0.919,64,0
630,0.173,0.125,0.866,64,0
631,0.198,0.097,0.849,64,0
632,0.216,0.075,0.858,64,0
633,0.239,0.054,0.888,64,0
634,0.293,0.041,0.936,64,0
635,0.321,0.044,0.969,64,0
636,0.186,0.049,0.958,64,0
637,-0.049,0.025,0.949,64,0
638,-0.191,-0.02,0.962,64,0
639,-0.306,-0.044,0.944,64,0
640,-0.479,-0.061,0.881,64,0
641,-0.627,-0.1,0.785,64,0
642,-0.731,-0.17,0.666,64,0
643,-0.753,-0.237,0.568,64,0
644,-0.702,-0.256,0.495,64,0
645,-0.736,-0.239,0.445,64,0
646,-0.843,-0.222,0.476,64,0
647,-0.869,-0.235,0.527,64,0
648,-0.829,-0.258,0.516,64,0
649,-0.812,-0.252,0.485,64,0
650,-0.809,-0.234,0.447,64,0
651,-0.82,-0.225,0.405,64,0
652,-0.871,-0.196,0.394,64,0
653,-0.914,-0.123,0.417,64,0
654,-0.911,-0.055,0.429,64,0
655,-0.938,-0.013,0.424,64,0
656,-1.045,0.054,0.412,64,0
657,-1.139,0.148,0.399,64,0
658,-1.1,0.191,0.413,64,0
659,-0.984,0.168,0.42,64,0
660,-0.883,0.135,0.393,64,0
661,-0.814,0.116,0.355,64,0
662,-0.771,0.092,0.322,64,0
663,-0.744,0.059,0.308,64,0
664,-0.767,0.041,0.337,64,0
665,-0.846,0.041,0.374,64,0
666,-0.919,0.04,0.389,64,0
667,-0.925,0.028,0.416,64,0
668,-0.886,0.002,0.441,64,0
669,-0.854,-0.028,0.436,64,0
670,-0.872,-0.033,0.407,64,0
671,-0.973,0,0.376,64,0
672,-1.143,0.065,0.365,64,0
673,-1.25,0.128,0.37,64,0
674,-1.204,0.152,0.365,64,0
675,-1.061,0.129,0.355,64,0
676,-0.93,0.071,0.327,64,0
677,-0.888,0.028,0.293,64,0
678,-0.913,0.039,0.286,64,0
679,-0.944,0.087,0.294,64,0
680,-0.928,0.119,0.303,64,0
681,-0.866,0.12,0.311,64,0
682,-0.817,0.117,0.31,64,0
683,-0.8,0.125,0.31,64,0
684,-0.788,0.142,0.327,64,0
685,-0.793,0.165,0.354,64,0
686,-0.788,0.198,0.367,64,0
687,-0.718,0.239,0.352,64,0
688,-0.62,0.29,0.305,64,0
689,-0.566,0.422,0.249,64,0
690,-0.544,0.641,0.207,64,0
691,-0.504,0.843,0.189,64,0
692,-0.462,1.003,0.183,64,0
693,-0.431,1.144,0.157,64,0
694,-0.41,1.254,0.133,64,0
695,-0.4,1.281,0.138,64,0
696,-0.379,1.209,0.17,64,0
697,-0.345,1.104,0.203,64,0
698,-0.312,1.019,0.219,64,0
699,-0.294,0.968,0.224,64,0
700,-0.309,0.932,0.229,64,0
701,-0.343,0.892,0.243,64,0
702,-0.369,0.861,0.265,64,0
703,-0.381,0.875,0.282,64,0
704,-0.379,0.94,0.278,64,0
705,-0.391,1.078,0.265,64,0
706,-0.417,1.226,0.263,64,0
707,-0.415,1.214,0.254,64,0
708,-0.371,1.088,0.221,64,0
709,-0.331,1.014,0.176,64,0
710,-0.321,1.009,0.142,65,0
711,-0.316,1.009,0.127,65,0
712,-0.3,0.987,0.122,65,0
713,-0.279,0.955,0.117,65,0
714,-0.27,0.926,0.11,65,0
715,-0.277,0.902,0.099,65,0
716,-0.284,0.875,0.101,65,0
717,-0.278,0.836,0.113,65,0
718,-0.274,0.805,0.117,65,0
719,-0.284,0.817,0.128,65,0
720,-0.293,0.867,0.144,65,0
721,-0.288,0.944,0.152,65,0
722,-0.27,1.081,0.145,65,0
723,-0.25,1.177,0.142,65,0
724,-0.214,1.14,0.17,65,0
725,-0.163,1.067,0.182,65,0
726,-0.141,1.031,0.154,65,0
727,-0.168,1.012,0.139,65,0
728,-0.216,0.979,0.158,65,0
729,-0.249,0.921,0.171,65,0
730,-0.27,0.865,0.167,65,0
731,-0.281,0.844,0.165,65,0
732,-0.284,0.855,0.165,65,0
733,-0.292,0.869,0.184,65,0
734,-0.313,0.869,0.243,65,0
735,-0.342,0.869,0.313,65,0
