Sample Count,Green1 Count,Green2 Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),HR Confidence (%),Activity
3285,275816,404543,-0.233,-1.048,0.21,168,32,RUN
3286,275658,409379,-0.264,-1.273,0.126,168,32,RUN
3287,277106,413364,-0.425,-1.084,0.191,168,32,RUN
3288,276603,414998,-1.173,-0.631,0.62,168,32,RUN
3289,272626,413933,-2.29,0.382,1.318,168,33,RUN
3290,274179,415374,-2.562,1.137,1.595,168,33,RUN
3291,275644,415317,-1.776,1.064,1.265,168,33,RUN
3292,275546,414164,-0.67,0.709,0.718,168,33,RUN
3293,274691,412532,0.072,0.442,0.362,168,33,RUN
3294,274687,412495,0.312,0.369,0.146,168,33,RUN
3295,275410,413442,0.184,0.459,0.303,168,33,RUN
3296,274489,413909,-0.075,0.694,0.723,168,33,RUN
3297,276480,415057,-0.114,0.843,1.014,168,33,RUN
3298,268167,411174,0.044,0.873,1.234,168,33,RUN
3299,267109,412893,0.284,0.804,1.299,167,33,RUN
3300,268618,414296,0.454,0.627,1.195,167,33,RUN
3301,270513,415777,0.447,0.384,0.99,167,33,RUN
3302,271780,416228,0.376,0.106,0.71,167,33,RUN
3303,271192,416849,0.384,-0.165,0.389,167,33,RUN
3304,272351,418205,0.471,-0.362,0.155,167,33,RUN
3305,273065,418900,0.537,-0.435,0.242,167,33,RUN
3306,273001,419416,0.522,-0.299,0.662,167,33,RUN
3307,267076,416700,0.5,-0.084,1.057,167,33,RUN
3308,264534,415372,0.489,0.065,1.304,167,33,RUN
3309,267946,419042,0.514,0.193,1.331,167,33,RUN
3310,270261,419759,0.532,0.271,1.086,167,33,RUN
3311,272169,419263,0.369,0.256,0.743,167,33,RUN
3312,272688,418556,0.109,0.292,0.318,167,33,RUN
3313,273826,417987,-0.102,0.575,-0.069,167,33,RUN
3314,273699,417227,-0.181,0.928,-0.297,167,33,RUN
3315,271552,415885,-0.307,1.119,-0.29,167,33,RUN
3316,267015,414742,-0.956,1.299,0.058,167,33,RUN
3317,264161,412842,-2.072,1.605,0.635,167,33,RUN
3318,264295,414814,-2.507,1.454,1.006,167,33,RUN
3319,264833,415942,-2.034,0.638,0.941,167,33,RUN
3320,265614,417799,-1.476,-0.089,0.739,167,33,RUN
3321,265167,419317,-0.954,-0.528,0.51,167,33,RUN
3322,265540,420718,-0.405,-1.01,0.19,167,33,RUN
3323,266699,421898,-0.105,-1.267,0.045,167,33,RUN
3324,267955,423212,-0.152,-1.059,0.135,167,33,RUN
3325,269229,424076,-0.611,-0.713,0.353,167,33,RUN
3326,263721,421103,-1.925,-0.014,0.854,167,33,RUN
3327,262157,420300,-2.884,0.727,1.318,167,33,RUN
3328,264811,422408,-2.489,0.955,1.277,167,33,RUN
3329,265600,422415,-1.57,0.926,0.884,167,33,RUN
3330,266789,421727,-0.577,0.886,0.407,167,33,RUN
3331,266911,420876,0.229,0.979,0.057,167,33,RUN
3332,269177,420954,0.652,1.088,-0.153,167,33,RUN
3333,270434,420659,0.756,1.131,-0.307,167,33,RUN
3334,268850,420017,0.439,1.31,-0.299,167,33,RUN
3335,265208,419687,-0.862,1.797,0.176,167,33,RUN
3336,261989,417272,-2.24,2.295,0.97,167,33,RUN
3337,261111,417559,-2.506,1.93,1.257,167,33,RUN
3338,260487,417579,-1.97,0.951,0.987,167,33,RUN
3339,260258,418682,-1.214,0.172,0.699,167,33,RUN
3340,259766,419994,-0.671,-0.371,0.463,167,33,RUN
3341,260987,422188,-0.345,-0.817,0.254,167,33,RUN
3342,262446,423159,-0.233,-1.108,0.172,167,33,RUN
3343,264403,424526,-0.327,-1.089,0.223,167,33,RUN
3344,263522,423241,-0.901,-0.766,0.6,167,33,RUN
3345,256894,420211,-2.069,0.093,1.338,167,33,RUN
3346,258346,421325,-2.666,0.977,1.723,167,33,RUN
3347,259545,421567,-2.165,1.253,1.414,167,33,RUN
3348,260406,419503,-1.279,1.172,0.842,167,33,RUN
3349,261140,418970,-0.41,0.999,0.329,166,33,RUN
3350,261791,418659,0.209,0.939,-0.05,166,33,RUN
3351,264019,419249,0.5,0.957,-0.27,166,33,RUN
3352,265302,419825,0.506,0.958,-0.374,166,33,RUN
3353,264921,418620,0.286,1.083,-0.4,166,33,RUN
3354,257183,415693,-0.86,1.555,-0.065,166,33,RUN
3355,256411,415270,-2.142,2.177,0.82,166,33,RUN
3356,256875,416196,-2.311,1.977,1.298,166,33,RUN
3357,256385,416190,-1.863,1.019,1.031,166,33,RUN
3358,256351,417460,-1.208,0.158,0.732,166,33,RUN
3359,255654,418695,-0.687,-0.44,0.515,166,32,RUN
3360,256307,419872,-0.369,-0.881,0.305,166,32,RUN
3361,258056,421076,-0.184,-1.106,0.214,166,32,RUN
3362,259944,422475,-0.218,-1.008,0.256,166,32,RUN
3363,258540,421429,-0.632,-0.745,0.512,166,32,RUN
3364,253656,419468,-1.708,-0.095,1.176,166,32,RUN
3365,255007,420526,-2.511,0.698,1.662,166,32,RUN
3366,256479,421802,-2.234,0.992,1.506,166,32,RUN
3367,257813,421336,-1.475,0.973,1.027,166,32,RUN
3368,259008,420789,-0.607,0.995,0.513,166,32,RUN
3369,259697,420131,0.169,1.062,0.097,166,32,RUN
3370,261014,419358,0.578,1.064,-0.147,166,32,RUN
3371,261589,418561,0.637,1.029,-0.256,166,32,RUN
3372,257249,417523,0.301,1.182,-0.323,166,32,RUN
3373,253602,414789,-1.073,1.684,0.115,166,32,RUN
3374,254095,415234,-2.389,2.102,0.949,166,32,RUN
3375,254468,416433,-2.425,1.607,1.25,166,32,RUN
3376,254227,417301,-1.789,0.549,1.032,166,32,RUN
3377,254543,419172,-1.079,-0.186,0.747,166,32,RUN
3378,253277,419685,-0.588,-0.595,0.472,166,32,RUN
3379,253921,421110,-0.305,-0.953,0.218,166,31,RUN
3380,255219,423239,-0.173,-1.083,0.154,166,31,RUN
3381,256394,424810,-0.219,-0.892,0.174,166,31,RUN
3382,253137,420853,-0.883,-0.481,0.512,166,31,RUN
3383,251150,419438,-2.045,0.288,1.137,166,31,RUN
3384,253546,421317,-2.488,0.831,1.356,166,31,RUN
3385,254577,421408,-1.976,0.856,1.091,166,31,RUN
3386,255516,420366,-1.195,0.741,0.661,166,31,RUN
3387,256087,419614,-0.447,0.635,0.278,166,31,RUN
3388,258195,419517,0.16,0.7,-0.006,166,31,RUN
3389,259790,419627,0.453,0.848,-0.149,166,31,RUN
3390,262745,420268,0.479,0.92,-0.27,166,31,RUN
3391,254725,417616,0.375,1.058,-0.389,166,31,RUN
3392,253038,415704,-0.77,1.536,0.018,166,31,RUN
3393,253173,416983,-2.197,2.12,0.866,166,31,RUN
3394,252514,417241,-2.428,1.861,1.262,166,31,RUN
3395,252341,418678,-1.855,0.93,1.102,166,31,RUN
3396,251324,419918,-1.102,0.097,0.758,166,31,RUN
3397,251422,420826,-0.577,-0.56,0.428,166,31,RUN
3398,252950,422694,-0.273,-1.004,0.207,166,31,RUN
3399,254324,425166,-0.126,-1.154,0.105,165,31,RUN
3400,255648,425847,-0.232,-0.994,0.148,165,31,RUN
3401,250507,422088,-0.966,-0.587,0.612,165,31,RUN
3402,249638,421428,-2.195,0.241,1.354,165,31,RUN
3403,252438,424487,-2.594,0.845,1.601,165,31,RUN
3404,254352,424824,-1.971,0.905,1.256,165,31,RUN
3405,255703,424296,-1.199,0.863,0.751,165,31,RUN
3406,257795,424471,-0.457,0.804,0.278,165,31,RUN
3407,260568,424293,0.176,0.88,-0.081,165,31,RUN
3408,261277,423598,0.502,1.041,-0.275,165,31,RUN
3409,257132,422651,0.523,1.143,-0.388,165,31,RUN
3410,251566,418524,0.197,1.341,-0.462,165,31,RUN
3411,251369,418066,-1.103,1.939,0.178,165,31,RUN
3412,253052,419748,-2.334,2.381,1.064,165,31,RUN
3413,254543,421668,-2.34,1.804,1.218,165,31,RUN
3414,256224,423944,-1.743,0.68,0.98,165,31,RUN
3415,258096,425707,-1.079,-0.175,0.675,165,31,RUN
3416,259211,426982,-0.617,-0.721,0.378,165,31,RUN
3417,259590,428353,-0.29,-1.094,0.133,165,31,RUN
3418,260547,430235,-0.164,-1.126,0.065,165,31,RUN
3419,259842,429251,-0.423,-0.829,0.198,165,30,RUN
3420,255708,425723,-1.42,-0.144,0.788,165,30,RUN
3421,256833,427065,-2.499,0.781,1.436,165,30,RUN
3422,259119,429231,-2.479,1.148,1.45,165,30,RUN
3423,260620,429166,-1.714,1.007,1.049,165,30,RUN
3424,262368,429501,-0.901,0.839,0.561,165,30,RUN
3425,263820,429456,-0.169,0.773,0.108,165,30,RUN
3426,265383,428738,0.339,0.827,-0.206,165,30,RUN
3427,264167,427893,0.502,0.899,-0.367,165,30,RUN
3428,264975,428092,0.468,0.976,-0.382,165,30,RUN
3429,261406,427282,-0.099,1.206,-0.246,165,21,RUN
3430,261286,427427,-1.351,1.625,0.407,165,21,RUN
3431,263308,429965,-2.295,1.759,1.144,165,21,RUN
3432,264736,430496,-2.246,1.179,1.262,165,21,RUN
3433,264882,430362,-1.559,0.323,1.056,165,21,RUN
3434,263918,430560,-0.884,-0.28,0.747,165,21,RUN
3435,262892,429111,-0.432,-0.666,0.416,165,21,RUN
3436,265007,430763,-0.192,-0.96,0.115,165,21,RUN
3437,266060,430138,-0.183,-1.03,0.042,165,21,RUN
3438,260617,425928,-0.625,-0.791,0.346,165,21,RUN
3439,258892,424989,-1.908,-0.347,0.945,166,21,RUN
3440,260894,427384,-2.842,0.146,1.285,166,21,RUN
3441,262934,428554,-2.463,0.468,1.028,166,21,RUN
3442,265120,428708,-1.552,0.636,0.604,166,21,RUN
3443,266743,428379,-0.739,0.691,0.316,166,21,RUN
3444,270539,428219,-0.18,0.726,0.112,166,21,RUN
3445,271012,427421,0.151,0.839,-0.055,166,21,RUN
3446,267421,425814,0.252,0.898,-0.231,166,21,RUN
3447,264522,425410,0.233,0.914,-0.31,166,21,RUN
3448,261519,423462,-0.416,1.077,-0.069,166,21,RUN
3449,260946,423806,-1.753,1.415,0.708,166,21,RUN
3450,261749,424989,-2.474,1.453,1.398,166,21,RUN
3451,262678,426971,-2.184,0.9,1.384,166,21,RUN
3452,263559,428592,-1.506,0.196,1.0,166,21,RUN
3453,263540,429748,-0.851,-0.305,0.583,166,21,RUN
3454,264584,431382,-0.407,-0.703,0.208,166,21,RUN
3455,265943,433637,-0.155,-1.075,-0.07,166,21,RUN
3456,266636,433664,-0.041,-1.124,-0.107,166,21,RUN
3457,261847,429681,-0.199,-0.907,-0.034,166,21,RUN
3458,261066,428210,-1.191,-0.606,0.446,166,21,RUN
3459,263822,431258,-2.541,-0.02,1.08,166,21,RUN
3460,266085,431635,-2.737,0.396,1.218,166,21,RUN
3461,267005,430741,-1.931,0.47,0.959,166,21,RUN
3462,269105,430929,-1.013,0.522,0.51,166,21,RUN
3463,271461,430914,-0.148,0.645,0.113,166,21,RUN
3464,270767,430087,0.374,0.819,-0.187,166,21,RUN
3465,268678,429330,0.607,0.92,-0.374,166,21,RUN
3466,265064,426933,0.586,1.131,-0.44,166,21,RUN
3467,265202,425848,-0.584,1.699,0.059,166,21,RUN
3468,266035,427496,-2.053,2.241,1.016,166,21,RUN
3469,266919,428691,-2.408,1.921,1.414,166,28,RUN
3470,268103,430380,-1.889,1.035,1.221,166,28,RUN
3471,267815,431039,-1.134,0.286,0.921,166,28,RUN
3472,268460,432285,-0.593,-0.293,0.635,166,28,RUN
3473,269752,433147,-0.248,-0.743,0.346,166,28,RUN
3474,269933,432914,-0.163,-1.042,0.098,166,28,RUN
3475,269236,430799,-0.252,-1.071,0.054,166,28,RUN
3476,264142,426517,-0.603,-0.912,0.24,166,28,RUN
3477,265723,427939,-1.709,-0.437,0.827,166,28,RUN
3478,268469,430947,-2.748,0.439,1.408,166,28,RUN
3479,270269,430632,-2.569,0.922,1.36,166,27,RUN
3480,271975,430420,-1.696,0.9,0.936,166,27,RUN
3481,273232,429599,-0.839,0.896,0.479,166,27,RUN
3482,273753,429308,-0.091,0.976,0.066,166,27,RUN
3483,276343,429204,0.381,1.098,-0.214,166,27,RUN
3484,274376,428368,0.515,1.146,-0.349,166,27,RUN
3485,268821,425693,0.319,1.2,-0.339,166,27,RUN
3486,268873,426146,-0.839,1.443,0.152,166,27,RUN
3487,269336,427092,-2.198,1.803,1.068,166,27,RUN
3488,269872,428739,-2.494,1.529,1.453,166,27,RUN
3489,270078,430001,-1.949,0.649,1.188,165,18,RUN
3490,269719,430616,-1.166,-0.087,0.865,165,18,RUN
3491,270490,431612,-0.585,-0.582,0.536,165,18,RUN
3492,271961,433224,-0.173,-0.961,0.192,165,18,RUN
3493,273277,435096,0.015,-1.148,0.01,165,18,RUN
3494,269211,431116,-0.066,-0.986,0.032,165,18,RUN
3495,266784,429935,-0.708,-0.601,0.429,165,18,RUN
3496,269149,432321,-1.97,-0.018,1.158,165,18,RUN
3497,270726,433630,-2.63,0.54,1.518,165,18,RUN
3498,271998,432870,-2.187,0.726,1.31,165,18,RUN
3499,273649,432603,-1.401,0.668,0.859,165,18,RUN
3500,274491,432588,-0.62,0.643,0.385,165,18,RUN
3501,275441,433140,0.067,0.799,0.016,165,18,RUN
3502,277180,433401,0.467,0.956,-0.23,165,18,RUN
3503,275946,432879,0.389,1.084,-0.264,165,18,RUN
3504,269611,429209,-0.8,1.582,0.267,165,18,RUN
3505,269438,430112,-2.206,2.179,1.147,165,18,RUN
3506,270890,430872,-2.378,1.824,1.47,165,18,RUN
3507,272708,431860,-1.723,0.778,1.215,165,18,RUN
3508,274357,432065,-1.014,-0.015,0.83,165,18,RUN
3509,274639,432396,-0.562,-0.507,0.405,165,28,RUN
3510,275938,433789,-0.276,-0.867,0.073,165,28,RUN
3511,277147,435140,-0.142,-1.025,-0.007,165,28,RUN
3512,278264,435386,-0.26,-0.919,0.068,165,28,RUN
3513,272852,431605,-1.105,-0.543,0.528,165,28,RUN
3514,270431,430183,-2.319,0.252,1.237,165,28,RUN
3515,275603,432735,-2.576,0.792,1.411,165,28,RUN
3516,278720,429060,-1.906,0.793,1.07,165,28,RUN
3517,277771,425744,-1.099,0.697,0.623,165,28,RUN
3518,276609,424334,-0.376,0.613,0.207,165,28,RUN
3519,276473,423874,0.149,0.708,-0.094,165,28,RUN
3520,276020,424676,0.406,0.863,-0.211,165,28,RUN
3521,274083,423896,0.389,0.917,-0.312,165,28,RUN
3522,271975,423794,0.169,1.05,-0.359,165,28,RUN
3523,271864,424623,-0.895,1.58,0.246,165,28,RUN
3524,270313,425543,-2.154,2.11,1.097,165,28,RUN
