Sample Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),Activity
353,-0.096,1.126,-0.132,68,3
354,-0.047,0.974,-0.144,68,3
355,-0.043,0.84,-0.15,68,3
356,-0.086,0.767,-0.116,68,3
357,-0.123,0.763,-0.122,68,3
358,-0.144,0.761,-0.135,68,3
359,-0.174,0.761,-0.097,68,3
360,-0.224,0.776,-0.068,68,3
361,-0.267,0.814,-0.034,68,3
362,-0.288,0.866,0.015,68,3
363,-0.301,0.904,0.053,68,3
364,-0.309,0.94,0.083,68,3
365,-0.302,1.017,0.083,68,3
366,-0.281,1.135,0.041,68,3
367,-0.267,1.27,-0.011,68,3
368,-0.254,1.369,-0.062,68,3
369,-0.231,1.34,-0.088,69,3
370,-0.197,1.182,-0.08,69,3
371,-0.167,1.008,-0.089,69,3
372,-0.174,0.911,-0.136,69,3
373,-0.192,0.907,-0.197,69,3
374,-0.193,0.907,-0.237,69,3
375,-0.193,0.855,-0.229,69,3
376,-0.212,0.8,-0.185,69,3
377,-0.242,0.757,-0.152,69,3
378,-0.264,0.717,-0.138,69,3
379,-0.273,0.721,-0.114,69,3
380,-0.262,0.79,-0.09,69,3
381,-0.236,0.894,-0.093,69,3
382,-0.221,1.05,-0.104,69,3
383,-0.201,1.236,-0.133,69,3
384,-0.134,1.381,-0.214,69,3
385,-0.09,1.439,-0.247,69,3
386,-0.073,1.364,-0.199,69,3
387,0,1.213,-0.171,69,3
388,0.104,1.148,-0.183,69,3
389,0.184,1.102,-0.237,70,3
390,0.207,0.967,-0.256,70,3
391,0.146,0.866,-0.209,70,3
392,0.045,0.827,-0.186,70,3
393,-0.065,0.854,-0.189,70,3
394,-0.152,0.913,-0.21,70,3
395,-0.197,0.935,-0.227,70,3
396,-0.213,0.927,-0.18,70,3
397,-0.192,0.896,-0.092,70,3
398,-0.192,0.892,-0.004,70,3
399,-0.185,0.935,0.076,70,3
400,-0.224,1.037,0.178,70,3
401,-0.315,1.144,0.269,70,3
402,-0.34,1.193,0.284,70,3
403,-0.337,1.364,-0.041,70,3
404,-0.383,1.451,-0.285,70,3
405,-0.373,1.376,-0.425,70,3
406,-0.302,1.245,-0.505,70,3
407,-0.276,1.17,-0.509,70,3
408,-0.244,1.125,-0.436,70,3
409,-0.233,1.061,-0.356,70,3
410,-0.254,0.951,-0.256,70,3
411,-0.261,0.823,-0.159,70,3
412,-0.257,0.713,-0.103,70,3
413,-0.24,0.622,-0.084,70,3
414,-0.23,0.562,-0.073,70,3
415,-0.257,0.569,-0.061,70,3
416,-0.333,0.697,-0.071,70,3
417,-0.428,0.912,-0.118,70,3
418,-0.485,1.085,-0.162,70,3
419,-0.495,1.228,-0.197,71,3
420,-0.465,1.376,-0.24,71,3
421,-0.445,1.421,-0.235,71,3
422,-0.424,1.348,-0.24,71,3
423,-0.355,1.253,-0.261,71,3
424,-0.315,1.175,-0.242,71,3
425,-0.337,1.098,-0.238,71,3
426,-0.404,0.992,-0.21,71,3
427,-0.406,0.904,-0.151,71,3
428,-0.34,0.834,-0.105,71,3
429,-0.314,0.768,-0.064,71,3
430,-0.319,0.754,-0.052,71,3
431,-0.3,0.747,-0.048,71,3
432,-0.262,0.76,0.002,71,3
433,-0.256,0.799,0.035,71,3
434,-0.283,0.838,0.031,71,3
435,-0.357,0.943,0.051,71,3
436,-0.506,1.055,0.015,71,3
437,-0.699,1.099,-0.056,71,3
438,-0.879,1.156,-0.086,71,3
439,-0.998,1.254,-0.159,72,3
440,-1.008,1.282,-0.234,72,3
441,-0.97,1.179,-0.191,72,3
442,-0.974,1.054,-0.118,72,3
443,-0.855,0.883,-0.064,72,3
444,-0.711,0.66,-0.03,72,3
445,-0.697,0.54,-0.019,72,3
446,-0.602,0.464,-0.033,72,3
447,-0.509,0.393,-0.075,72,3
448,-0.517,0.358,-0.093,72,3
449,-0.487,0.31,-0.08,72,3
450,-0.446,0.27,-0.086,72,3
451,-0.493,0.287,-0.09,72,3
452,-0.561,0.328,-0.046,72,3
453,-0.642,0.392,-0.041,72,3
454,-0.798,0.549,-0.032,72,3
455,-0.929,0.754,-0.002,72,3
456,-0.976,0.914,-0.034,72,3
457,-0.998,1.014,-0.056,72,3
458,-0.948,1.086,-0.067,72,3
459,-0.895,1.125,-0.087,72,3
460,-0.814,1.096,-0.127,72,3
461,-0.679,1.047,-0.177,72,3
462,-0.612,0.995,-0.179,72,3
463,-0.534,0.918,-0.168,72,3
464,-0.469,0.866,-0.141,72,3
465,-0.461,0.824,-0.08,72,3
466,-0.465,0.754,-0.015,72,3
467,-0.477,0.699,0.043,72,3
468,-0.495,0.671,0.102,72,3
469,-0.559,0.67,0.155,72,3
470,-0.732,0.726,0.192,72,3
471,-0.915,0.817,0.2,72,3
472,-1.033,0.896,0.188,72,3
473,-1.118,0.985,0.201,72,3
474,-1.138,1.063,0.249,72,3
475,-1.153,1.06,0.322,72,3
476,-1.114,0.925,0.326,72,3
477,-0.989,0.747,0.238,72,3
478,-0.858,0.594,0.166,72,3
479,-0.74,0.41,0.115,72,3
480,-0.657,0.239,0.075,72,3
481,-0.608,0.114,0.054,72,3
482,-0.592,0.035,0.042,72,3
483,-0.569,0.011,0.012,72,3
484,-0.552,0.018,-0.02,72,3
485,-0.553,0.025,-0.019,72,3
486,-0.53,0.026,-0.008,72,3
487,-0.59,0.048,0.008,72,3
488,-0.69,0.084,0.083,72,3
489,-0.687,0.164,0.087,73,3
490,-0.799,0.357,0.015,73,3
491,-0.993,0.608,0.035,73,3
492,-0.959,0.908,-0.008,73,3
493,-0.988,1.231,-0.055,73,3
494,-1.041,1.39,-0.035,73,3
495,-0.862,1.338,-0.117,73,3
496,-0.715,1.228,-0.168,73,3
497,-0.658,1.127,-0.175,73,3
498,-0.611,1.006,-0.182,73,3
499,-0.593,0.898,-0.138,73,3
500,-0.623,0.815,-0.081,73,3
501,-0.672,0.734,0.003,73,3
502,-0.695,0.661,0.1,73,3
503,-0.711,0.632,0.134,73,3
504,-0.737,0.654,0.115,73,3
505,-0.818,0.691,0.129,73,3
506,-0.955,0.717,0.168,73,3
507,-1.097,0.742,0.239,73,3
508,-1.246,0.772,0.32,73,3
509,-1.267,0.786,0.349,73,3
510,-1.181,0.771,0.323,73,3
511,-1.03,0.732,0.245,73,3
512,-0.728,0.625,0.132,73,3
513,-0.434,0.443,0.061,73,3
514,-0.309,0.289,0.043,73,3
515,-0.329,0.212,0.04,73,3
516,-0.338,0.202,0.043,73,3
517,-0.395,0.285,0.038,73,3
518,-0.513,0.43,0.041,73,3
519,-0.542,0.535,0.063,74,3
520,-0.533,0.637,0.102,74,3
521,-0.574,0.836,0.081,74,3
522,-0.582,1.055,-0.02,74,3
523,-0.534,1.262,-0.105,74,3
524,-0.559,1.41,-0.127,74,3
525,-0.583,1.391,-0.091,74,3
526,-0.498,1.305,-0.048,74,3
527,-0.353,1.219,-0.054,74,3
528,-0.275,1.184,-0.09,74,3
529,-0.265,1.243,-0.16,74,3
530,-0.279,1.373,-0.264,74,3
531,-0.244,1.491,-0.319,74,3
532,-0.131,1.445,-0.25,74,3
533,0.036,1.24,-0.142,74,3
534,0.176,1.068,-0.116,74,3
535,0.245,1.003,-0.129,74,3
536,0.308,0.938,-0.131,74,3
537,0.265,0.896,-0.114,74,3
538,0.149,0.881,-0.063,74,3
539,0.042,0.861,-0.004,74,3
540,-0.091,0.865,0.004,74,3
541,-0.196,0.868,-0.015,74,3
542,-0.248,0.857,-0.024,74,3
543,-0.275,0.867,-0.002,74,3
544,-0.293,0.884,0.026,74,3
545,-0.317,0.896,0.041,74,3
546,-0.344,0.948,0.047,74,3
547,-0.361,1.055,0.052,74,3
548,-0.354,1.15,0.055,74,3
549,-0.352,1.235,0.017,75,3
550,-0.37,1.299,-0.05,75,3
551,-0.385,1.237,-0.117,75,3
552,-0.392,1.166,-0.234,75,3
553,-0.352,1.162,-0.359,75,3
554,-0.268,1.138,-0.391,75,3
555,-0.184,1.089,-0.343,75,3
556,-0.144,1.019,-0.284,75,3
557,-0.173,0.937,-0.27,75,3
558,-0.212,0.852,-0.258,75,3
559,-0.222,0.779,-0.2,75,3
560,-0.204,0.715,-0.138,75,3
561,-0.186,0.678,-0.102,75,3
562,-0.194,0.724,-0.075,75,3
563,-0.23,0.833,-0.07,75,3
564,-0.258,0.978,-0.09,75,3
565,-0.21,1.154,-0.165,75,3
566,-0.133,1.309,-0.265,75,3
567,-0.134,1.461,-0.302,75,3
568,-0.183,1.446,-0.269,75,3
569,-0.168,1.23,-0.199,75,3
570,-0.135,1.107,-0.176,75,3
571,-0.163,1.053,-0.205,75,3
572,-0.205,0.964,-0.193,75,3
573,-0.245,0.895,-0.157,75,3
574,-0.281,0.818,-0.13,75,3
575,-0.286,0.745,-0.08,75,3
