Sample Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),Activity
236,-0.249,0.982,-0.063,62,4
237,-0.243,0.982,-0.086,62,4
238,-0.225,0.975,-0.097,62,4
239,-0.21,0.963,-0.092,62,4
240,-0.196,0.956,-0.08,62,4
241,-0.182,0.962,-0.071,62,4
242,-0.174,0.976,-0.067,62,4
243,-0.17,0.985,-0.063,62,4
244,-0.161,0.988,-0.06,62,4
245,-0.164,0.989,-0.059,62,4
246,-0.18,0.99,-0.059,62,4
247,-0.191,0.99,-0.062,62,4
248,-0.198,0.991,-0.065,62,4
249,-0.209,0.994,-0.065,62,4
250,-0.22,0.995,-0.062,62,4
251,-0.229,0.993,-0.059,62,4
252,-0.23,0.989,-0.061,62,4
253,-0.225,0.986,-0.066,62,4
254,-0.224,0.986,-0.07,62,4
255,-0.229,0.988,-0.07,62,4
256,-0.236,0.989,-0.066,62,4
257,-0.24,0.988,-0.064,62,4
258,-0.242,0.985,-0.067,62,4
259,-0.239,0.984,-0.072,62,4
260,-0.231,0.986,-0.075,62,4
261,-0.227,0.988,-0.071,62,4
262,-0.231,0.989,-0.063,62,4
263,-0.24,0.986,-0.058,62,4
264,-0.243,0.983,-0.06,62,4
265,-0.24,0.983,-0.069,62,4
266,-0.237,0.986,-0.074,62,4
267,-0.236,0.989,-0.071,62,4
268,-0.237,0.989,-0.064,62,4
269,-0.239,0.987,-0.059,62,4
270,-0.242,0.983,-0.061,62,4
271,-0.243,0.981,-0.067,62,4
272,-0.241,0.983,-0.073,62,4
273,-0.239,0.986,-0.072,62,4
274,-0.24,0.988,-0.063,62,4
275,-0.244,0.988,-0.058,62,4
276,-0.248,0.987,-0.059,62,4
277,-0.239,0.979,-0.07,62,4
278,-0.222,0.975,-0.083,62,4
279,-0.213,0.983,-0.082,63,4
280,-0.221,0.989,-0.068,63,4
281,-0.237,0.989,-0.057,63,4
282,-0.246,0.988,-0.062,63,4
283,-0.247,0.985,-0.076,63,4
284,-0.244,0.984,-0.082,63,4
285,-0.238,0.985,-0.074,63,4
286,-0.234,0.987,-0.064,63,4
287,-0.235,0.986,-0.062,63,4
288,-0.242,0.983,-0.066,63,4
289,-0.247,0.981,-0.068,63,4
290,-0.249,0.982,-0.066,63,4
291,-0.25,0.984,-0.063,63,4
292,-0.249,0.986,-0.061,63,4
293,-0.248,0.988,-0.059,63,4
294,-0.247,0.986,-0.055,63,4
295,-0.245,0.981,-0.052,63,4
296,-0.241,0.98,-0.051,63,4
297,-0.235,0.986,-0.053,63,4
298,-0.226,0.992,-0.053,63,4
299,-0.217,0.996,-0.046,63,4
300,-0.205,0.989,-0.039,63,4
301,-0.176,0.981,-0.043,63,4
302,-0.156,0.972,-0.061,63,4
303,-0.183,0.953,-0.075,63,4
304,-0.249,0.938,-0.076,63,4
305,-0.321,0.943,-0.073,63,4
306,-0.357,0.963,-0.079,63,4
307,-0.354,0.984,-0.089,63,4
308,-0.337,0.996,-0.096,63,4
309,-0.302,0.991,-0.096,63,4
310,-0.26,0.978,-0.084,63,4
311,-0.225,0.974,-0.074,63,4
312,-0.202,0.979,-0.071,63,4
313,-0.203,0.985,-0.069,63,4
314,-0.224,0.991,-0.068,63,4
315,-0.239,0.991,-0.07,63,4
316,-0.242,0.986,-0.08,63,4
317,-0.239,0.983,-0.089,63,4
318,-0.235,0.976,-0.088,63,4
319,-0.228,0.97,-0.08,64,4
320,-0.22,0.972,-0.074,64,4
321,-0.215,0.979,-0.079,64,4
322,-0.22,0.984,-0.086,64,4
323,-0.24,0.986,-0.085,64,4
324,-0.277,0.987,-0.082,64,4
325,-0.303,0.984,-0.09,64,4
326,-0.293,0.981,-0.107,64,4
327,-0.266,0.98,-0.114,64,4
328,-0.242,0.979,-0.103,64,4
329,-0.229,0.983,-0.083,64,4
330,-0.229,0.99,-0.075,64,4
331,-0.237,0.99,-0.083,64,4
332,-0.243,0.985,-0.095,64,4
333,-0.246,0.979,-0.097,64,4
334,-0.246,0.975,-0.087,64,4
335,-0.243,0.978,-0.078,64,4
336,-0.238,0.982,-0.078,64,4
337,-0.234,0.986,-0.081,64,4
338,-0.231,0.986,-0.08,64,4
339,-0.228,0.985,-0.075,64,4
340,-0.23,0.986,-0.073,64,4
341,-0.237,0.988,-0.081,64,4
342,-0.241,0.989,-0.088,64,4
343,-0.238,0.989,-0.085,64,4
344,-0.233,0.99,-0.08,64,4
345,-0.229,0.987,-0.078,64,4
346,-0.221,0.983,-0.08,64,4
347,-0.213,0.981,-0.08,64,4
348,-0.206,0.985,-0.086,64,4
349,-0.205,0.989,-0.086,65,4
350,-0.217,0.989,-0.068,65,4
351,-0.232,0.985,-0.056,65,4
352,-0.241,0.982,-0.062,65,4
353,-0.245,0.981,-0.075,65,4
354,-0.243,0.983,-0.081,65,4
355,-0.237,0.986,-0.076,65,4
356,-0.231,0.987,-0.069,65,4
357,-0.231,0.985,-0.066,65,4
358,-0.229,0.982,-0.071,65,4
359,-0.219,0.98,-0.081,65,4
360,-0.213,0.981,-0.085,65,4
361,-0.214,0.985,-0.082,65,4
362,-0.223,0.989,-0.076,65,4
363,-0.229,0.99,-0.075,65,4
364,-0.226,0.99,-0.08,65,4
365,-0.226,0.99,-0.085,65,4
366,-0.228,0.99,-0.087,65,4
367,-0.23,0.99,-0.087,65,4
368,-0.229,0.989,-0.086,65,4
369,-0.227,0.987,-0.085,65,4
370,-0.228,0.987,-0.086,65,4
371,-0.231,0.988,-0.086,65,4
372,-0.234,0.988,-0.084,65,4
373,-0.233,0.988,-0.085,65,4
374,-0.23,0.987,-0.085,65,4
375,-0.229,0.985,-0.082,65,4
376,-0.23,0.986,-0.081,65,4
377,-0.234,0.987,-0.083,65,4
378,-0.237,0.988,-0.085,65,4
379,-0.237,0.988,-0.087,66,4
380,-0.235,0.988,-0.086,66,4
381,-0.232,0.986,-0.085,66,4
382,-0.233,0.985,-0.084,66,4
383,-0.235,0.986,-0.086,66,4
384,-0.235,0.986,-0.087,66,4
385,-0.235,0.986,-0.087,66,4
386,-0.236,0.986,-0.086,66,4
387,-0.237,0.986,-0.084,66,4
388,-0.235,0.986,-0.085,66,4
389,-0.236,0.986,-0.085,66,4
390,-0.238,0.987,-0.088,66,4
391,-0.236,0.987,-0.09,66,4
392,-0.23,0.987,-0.089,66,4
393,-0.23,0.986,-0.086,66,4
394,-0.236,0.986,-0.086,66,4
395,-0.237,0.986,-0.09,66,4
396,-0.235,0.987,-0.091,66,4
397,-0.233,0.987,-0.09,66,4
398,-0.233,0.987,-0.089,66,4
399,-0.232,0.987,-0.087,66,4
400,-0.23,0.986,-0.087,66,4
401,-0.232,0.986,-0.087,66,4
402,-0.237,0.988,-0.09,66,4
403,-0.239,0.988,-0.093,66,4
404,-0.236,0.987,-0.09,66,4
405,-0.232,0.985,-0.088,66,4
406,-0.232,0.985,-0.091,66,4
407,-0.234,0.986,-0.093,66,4
408,-0.238,0.985,-0.088,66,4
409,-0.242,0.985,-0.084,66,4
410,-0.244,0.985,-0.087,66,4
411,-0.241,0.983,-0.088,66,4
412,-0.237,0.981,-0.087,66,4
413,-0.237,0.982,-0.083,66,4
414,-0.242,0.985,-0.084,66,4
415,-0.246,0.986,-0.089,66,4
416,-0.247,0.984,-0.093,66,4
417,-0.245,0.984,-0.092,66,4
418,-0.245,0.983,-0.085,66,4
419,-0.248,0.981,-0.083,67,4
420,-0.248,0.982,-0.086,67,4
421,-0.248,0.984,-0.087,67,4
422,-0.249,0.986,-0.089,67,4
423,-0.248,0.985,-0.087,67,4
424,-0.243,0.983,-0.086,67,4
425,-0.242,0.984,-0.087,67,4
426,-0.244,0.985,-0.088,67,4
427,-0.245,0.984,-0.089,67,4
428,-0.242,0.984,-0.089,67,4
429,-0.239,0.985,-0.085,67,4
430,-0.241,0.984,-0.083,67,4
431,-0.25,0.982,-0.085,67,4
432,-0.255,0.978,-0.086,67,4
433,-0.257,0.978,-0.083,67,4
434,-0.254,0.984,-0.079,67,4
435,-0.249,0.986,-0.08,67,4
436,-0.248,0.982,-0.083,67,4
437,-0.254,0.976,-0.087,67,4
438,-0.265,0.975,-0.088,67,4
439,-0.268,0.978,-0.085,67,4
440,-0.257,0.982,-0.082,67,4
441,-0.243,0.983,-0.081,67,4
442,-0.242,0.981,-0.075,67,4
443,-0.255,0.98,-0.07,67,4
444,-0.27,0.98,-0.071,67,4
445,-0.272,0.981,-0.073,67,4
446,-0.263,0.979,-0.073,67,4
447,-0.255,0.978,-0.069,67,4
448,-0.249,0.979,-0.066,67,4
449,-0.245,0.982,-0.067,67,4
450,-0.246,0.983,-0.068,67,4
451,-0.248,0.983,-0.07,67,4
452,-0.248,0.985,-0.07,67,4
453,-0.245,0.987,-0.068,67,4
454,-0.24,0.985,-0.067,67,4
455,-0.236,0.983,-0.068,67,4
456,-0.234,0.983,-0.071,67,4
457,-0.235,0.983,-0.073,67,4
458,-0.236,0.983,-0.075,67,4
459,-0.238,0.982,-0.074,68,4
460,-0.238,0.978,-0.071,68,4
461,-0.236,0.978,-0.071,68,4
462,-0.24,0.982,-0.072,68,4
463,-0.251,0.987,-0.076,68,4
464,-0.26,0.988,-0.083,68,4
465,-0.257,0.987,-0.091,68,4
466,-0.244,0.985,-0.099,68,4
467,-0.237,0.986,-0.102,68,4
468,-0.238,0.986,-0.1,68,4
469,-0.238,0.986,-0.094,68,4
470,-0.237,0.986,-0.091,68,4
471,-0.238,0.986,-0.089,68,4
472,-0.24,0.982,-0.088,68,4
473,-0.239,0.982,-0.091,68,4
474,-0.239,0.985,-0.092,68,4
475,-0.242,0.986,-0.093,68,4
476,-0.241,0.987,-0.098,68,4
477,-0.235,0.989,-0.103,68,4
478,-0.231,0.989,-0.103,68,4
479,-0.231,0.988,-0.097,68,4
480,-0.233,0.984,-0.095,68,4
481,-0.235,0.983,-0.097,68,4
482,-0.233,0.986,-0.102,68,4
483,-0.232,0.988,-0.107,68,4
484,-0.231,0.988,-0.111,68,4
485,-0.227,0.987,-0.115,68,4
486,-0.219,0.988,-0.118,68,4
487,-0.212,0.986,-0.116,68,4
488,-0.209,0.982,-0.108,68,4
489,-0.209,0.983,-0.099,68,4
490,-0.216,0.987,-0.092,68,4
491,-0.23,0.989,-0.089,68,4
492,-0.247,1.003,-0.078,68,4
493,-0.257,1.013,-0.065,68,4
494,-0.238,0.999,-0.064,68,4
495,-0.212,0.979,-0.068,68,4
496,-0.214,0.962,-0.078,68,4
497,-0.227,0.95,-0.086,68,4
498,-0.235,0.953,-0.085,68,4
499,-0.244,0.969,-0.077,68,4
500,-0.267,0.989,-0.063,68,4
501,-0.288,0.995,-0.046,68,4
502,-0.285,0.986,-0.03,68,4
503,-0.265,0.973,-0.026,68,4
504,-0.251,0.967,-0.029,68,4
505,-0.247,0.963,-0.028,68,4
506,-0.251,0.962,-0.026,68,4
507,-0.258,0.966,-0.026,68,4
508,-0.258,0.969,-0.028,68,4
509,-0.252,0.969,-0.029,68,4
510,-0.248,0.969,-0.033,68,4
511,-0.246,0.976,-0.046,68,4
512,-0.263,0.984,-0.056,68,4
513,-0.279,0.985,-0.061,68,4
514,-0.285,0.98,-0.068,68,4
515,-0.287,0.961,-0.068,68,4
516,-0.281,0.946,-0.071,68,4
517,-0.288,0.952,-0.085,68,4
518,-0.29,0.96,-0.092,68,4
519,-0.282,0.956,-0.092,68,4
520,-0.285,0.948,-0.094,68,4
521,-0.284,0.95,-0.097,68,4
522,-0.283,0.958,-0.101,68,4
523,-0.281,0.968,-0.107,68,4
524,-0.284,0.992,-0.118,68,4
525,-0.287,1.015,-0.141,68,4
526,-0.282,1.02,-0.173,68,4
527,-0.281,1.011,-0.196,68,4
528,-0.28,1,-0.211,68,4
529,-0.271,0.993,-0.218,67,4
530,-0.262,0.992,-0.214,67,4
531,-0.254,0.995,-0.207,67,4
532,-0.248,0.991,-0.195,67,4
533,-0.246,0.973,-0.168,67,4
534,-0.246,0.952,-0.135,67,4
535,-0.247,0.953,-0.114,67,4
536,-0.253,0.976,-0.093,67,4
537,-0.274,1.004,-0.055,67,4
538,-0.289,1.026,-0.016,67,4
539,-0.298,1.021,0.01,67,4
540,-0.305,1.006,0.035,67,4
541,-0.308,0.998,0.032,67,4
542,-0.32,0.979,0.005,67,4
543,-0.343,0.957,-0.015,67,4
544,-0.349,0.934,-0.039,67,4
545,-0.354,0.907,-0.05,67,4
546,-0.363,0.899,-0.046,67,4
547,-0.358,0.902,-0.034,67,4
548,-0.334,0.9,-0.026,67,4
549,-0.287,0.9,-0.037,67,4
550,-0.239,0.904,-0.054,67,4
551,-0.192,0.917,-0.051,67,4
552,-0.157,0.934,-0.019,67,4
553,-0.15,0.954,0.02,67,4
554,-0.159,0.981,0.059,67,4
555,-0.166,1,0.084,67,4
556,-0.18,1.005,0.1,67,4
557,-0.208,1.003,0.114,67,4
558,-0.225,1.007,0.131,67,4
559,-0.229,1.007,0.13,67,4
560,-0.235,1.009,0.111,67,4
561,-0.238,1.011,0.09,67,4
562,-0.228,0.991,0.07,67,4
563,-0.201,0.966,0.056,67,4
564,-0.15,0.954,0.044,67,4
565,-0.099,0.96,0.043,67,4
566,-0.064,0.981,0.054,67,4
567,-0.043,1.006,0.065,67,4
568,-0.049,1.014,0.064,67,4
569,-0.056,0.981,0.046,67,4
570,-0.064,0.947,0.015,67,4
571,-0.109,0.95,-0.015,67,4
572,-0.172,0.969,-0.023,67,4
573,-0.213,0.991,-0.017,67,4
574,-0.232,1.012,-0.018,67,4
575,-0.244,1.017,-0.034,67,4
576,-0.265,1.02,-0.049,67,4
577,-0.272,1.058,-0.059,67,4
578,-0.258,1.106,-0.098,67,4
579,-0.25,1.125,-0.143,67,4
580,-0.232,1.112,-0.148,67,4
581,-0.199,1.072,-0.135,67,4
582,-0.186,1.03,-0.124,67,4
583,-0.186,0.995,-0.11,67,4
584,-0.173,0.969,-0.105,67,4
585,-0.152,0.967,-0.12,67,4
586,-0.13,0.965,-0.147,67,4
587,-0.121,0.965,-0.171,67,4
588,-0.138,0.97,-0.175,67,4
589,-0.162,0.965,-0.159,67,4
590,-0.16,0.968,-0.147,67,4
591,-0.149,0.99,-0.145,67,4
592,-0.152,0.995,-0.14,67,4
593,-0.145,0.983,-0.129,67,4
594,-0.151,0.978,-0.116,67,4
595,-0.172,0.981,-0.104,67,4
596,-0.176,0.987,-0.101,67,4
597,-0.182,1.004,-0.098,67,4
598,-0.195,1.026,-0.08,67,4
599,-0.201,1.023,-0.048,67,4
600,-0.203,1.009,-0.02,67,4
601,-0.208,1.001,0.009,67,4
602,-0.214,0.995,0.035,67,4
603,-0.219,0.996,0.058,67,4
604,-0.224,1.002,0.088,67,4
605,-0.208,1.015,0.103,67,4
606,-0.17,1.022,0.084,67,4
607,-0.141,1.013,0.039,67,4
608,-0.14,0.993,-0.01,67,4
609,-0.152,0.981,-0.056,67,4
610,-0.156,0.989,-0.084,67,4
611,-0.17,0.997,-0.077,67,4
612,-0.2,0.968,-0.056,67,4
613,-0.226,0.91,-0.053,67,4
614,-0.271,0.896,-0.069,67,4
615,-0.321,0.947,-0.095,67,4
616,-0.345,1.011,-0.113,67,4
617,-0.353,1.029,-0.104,67,4
618,-0.337,0.995,-0.083,67,4
619,-0.299,0.958,-0.071,67,4
620,-0.254,0.951,-0.07,67,4
621,-0.221,0.97,-0.059,67,4
622,-0.19,0.994,-0.038,67,4
623,-0.161,0.999,-0.005,67,4
624,-0.16,0.983,0.039,67,4
625,-0.163,0.959,0.041,67,4
626,-0.157,0.95,-0.006,67,4
627,-0.168,0.967,-0.06,67,4
628,-0.197,1,-0.102,67,4
629,-0.228,1.039,-0.146,67,4
630,-0.315,1.044,-0.208,67,4
631,-0.351,1.027,-0.212,67,4
632,-0.333,1.009,-0.221,67,4
633,-0.287,0.992,-0.228,67,4
634,-0.264,0.972,-0.23,67,4
635,-0.27,0.958,-0.224,67,4
636,-0.28,0.962,-0.214,67,4
637,-0.277,0.983,-0.212,67,4
638,-0.264,1.009,-0.212,67,4
639,-0.253,1.02,-0.205,69,4
640,-0.252,1.014,-0.183,69,4
641,-0.253,1.006,-0.153,69,4
642,-0.247,0.997,-0.126,69,4
643,-0.239,0.993,-0.106,69,4
644,-0.224,1.019,-0.105,69,4
645,-0.191,1.04,-0.11,69,4
646,-0.172,1.029,-0.111,69,4
647,-0.196,1.004,-0.096,69,4
648,-0.219,0.982,-0.078,69,4
649,-0.202,0.981,-0.072,70,4
650,-0.167,0.986,-0.072,70,4
651,-0.145,0.98,-0.074,70,4
652,-0.145,0.969,-0.08,70,4
653,-0.162,0.967,-0.076,70,4
654,-0.18,0.981,-0.054,70,4
655,-0.182,0.99,-0.019,70,4
656,-0.177,0.991,0.01,70,4
657,-0.179,0.99,0.027,70,4
658,-0.193,0.976,0.028,70,4
659,-0.221,0.958,0.026,69,4
660,-0.246,0.963,0.042,69,4
661,-0.252,0.98,0.062,69,4
662,-0.229,0.987,0.06,69,4
663,-0.182,0.98,0.033,69,4
664,-0.143,0.972,-0.002,69,4
665,-0.13,0.978,-0.023,69,4
666,-0.126,0.99,-0.015,69,4
667,-0.127,1.003,0.034,69,4
668,-0.155,0.998,0.101,69,4
669,-0.184,0.978,0.118,69,4
670,-0.192,0.976,0.092,69,4
671,-0.197,0.983,0.065,69,4
672,-0.201,0.983,0.049,69,4
673,-0.211,0.983,0.043,69,4
674,-0.217,0.977,0.041,69,4
675,-0.208,0.974,0.034,69,4
676,-0.201,0.991,0.018,69,4
677,-0.218,1.017,0,69,4
678,-0.248,1.027,-0.004,69,4
679,-0.261,1.016,0.011,68,4
680,-0.228,0.993,0.028,68,4
681,-0.169,0.974,0.033,68,4
682,-0.131,0.976,0.025,68,4
683,-0.114,0.995,0.004,68,4
684,-0.093,1.007,-0.007,68,4
685,-0.077,1,0.006,68,4
686,-0.127,0.993,0.025,68,4
687,-0.193,0.997,0.031,68,4
688,-0.184,0.995,0.029,68,4
689,-0.143,0.979,0.025,68,4
690,-0.156,0.973,0.029,68,4
691,-0.189,0.986,0.037,68,4
692,-0.176,0.995,0.046,68,4
693,-0.159,0.998,0.054,68,4
694,-0.134,0.992,0.041,68,4
695,-0.131,0.986,0.016,68,4
696,-0.123,0.995,-0.013,68,4
