Sample Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),Activity
2271,-0.373,1.145,0.364,107,1
2272,-0.348,1.249,0.347,107,1
2273,-0.351,1.286,0.327,107,1
2274,-0.373,1.256,0.274,107,1
2275,-0.404,1.217,0.211,107,1
2276,-0.424,1.148,0.175,107,1
2277,-0.389,1.044,0.166,107,1
2278,-0.326,0.93,0.161,107,1
2279,-0.287,0.844,0.145,107,1
2280,-0.265,0.806,0.127,107,1
2281,-0.244,0.791,0.109,107,1
2282,-0.231,0.77,0.109,107,1
2283,-0.231,0.757,0.119,107,1
2284,-0.239,0.776,0.115,107,1
2285,-0.249,0.829,0.121,107,1
2286,-0.253,0.932,0.146,107,1
2287,-0.25,1.087,0.158,107,1
2288,-0.254,1.217,0.163,107,1
2289,-0.241,1.258,0.18,107,1
2290,-0.197,1.23,0.17,107,1
2291,-0.17,1.145,0.146,107,1
2292,-0.188,1.013,0.154,107,1
2293,-0.229,0.877,0.181,107,1
2294,-0.267,0.765,0.199,107,1
2295,-0.292,0.704,0.209,107,1
2296,-0.306,0.722,0.233,107,1
2297,-0.318,0.797,0.25,107,1
2298,-0.352,0.894,0.259,107,1
2299,-0.39,0.998,0.274,108,1
2300,-0.397,1.105,0.276,108,1
2301,-0.381,1.254,0.278,108,1
2302,-0.362,1.356,0.304,108,1
2303,-0.335,1.331,0.298,108,1
2304,-0.312,1.291,0.231,108,1
2305,-0.311,1.239,0.17,108,1
2306,-0.319,1.122,0.166,108,1
2307,-0.324,0.969,0.223,108,1
2308,-0.31,0.852,0.252,108,1
2309,-0.273,0.792,0.197,108,1
2310,-0.241,0.751,0.131,108,1
2311,-0.222,0.729,0.094,108,1
2312,-0.22,0.723,0.084,108,1
2313,-0.233,0.747,0.084,108,1
2314,-0.241,0.823,0.08,108,1
2315,-0.242,0.946,0.084,108,1
2316,-0.246,1.104,0.1,108,1
2317,-0.265,1.207,0.134,108,1
2318,-0.283,1.21,0.192,108,1
2319,-0.266,1.205,0.225,108,1
2320,-0.22,1.173,0.215,108,1
2321,-0.174,1.058,0.213,108,1
2322,-0.166,0.908,0.234,108,1
2323,-0.201,0.778,0.26,108,1
2324,-0.243,0.698,0.27,108,1
2325,-0.268,0.689,0.269,108,1
2326,-0.284,0.737,0.286,108,1
2327,-0.306,0.802,0.317,108,1
2328,-0.336,0.896,0.327,108,1
2329,-0.362,1.018,0.321,108,1
2330,-0.359,1.155,0.307,108,1
2331,-0.34,1.311,0.294,108,1
2332,-0.335,1.36,0.288,108,1
2333,-0.333,1.294,0.25,108,1
2334,-0.325,1.233,0.185,108,1
2335,-0.327,1.15,0.137,108,1
2336,-0.323,1.017,0.129,108,1
2337,-0.3,0.885,0.147,108,1
2338,-0.283,0.787,0.157,108,1
2339,-0.274,0.733,0.142,109,1
2340,-0.256,0.724,0.113,109,1
2341,-0.234,0.733,0.098,109,1
2342,-0.217,0.746,0.093,109,1
2343,-0.221,0.809,0.084,109,1
2344,-0.236,0.935,0.096,109,1
2345,-0.248,1.106,0.11,109,1
2346,-0.25,1.276,0.102,109,1
2347,-0.218,1.303,0.113,109,1
2348,-0.161,1.238,0.149,109,1
2349,-0.128,1.196,0.164,109,1
2350,-0.13,1.114,0.168,109,1
2351,-0.154,0.974,0.207,109,1
2352,-0.189,0.828,0.25,109,1
2353,-0.221,0.724,0.266,109,1
2354,-0.244,0.688,0.275,109,1
2355,-0.256,0.723,0.286,109,1
2356,-0.26,0.786,0.305,109,1
2357,-0.267,0.852,0.321,109,1
2358,-0.278,0.94,0.319,109,1
2359,-0.29,1.065,0.293,109,1
2360,-0.308,1.242,0.267,109,1
2361,-0.332,1.343,0.274,109,1
2362,-0.329,1.293,0.259,109,1
2363,-0.301,1.248,0.194,109,1
2364,-0.28,1.22,0.143,109,1
2365,-0.264,1.132,0.123,109,1
2366,-0.25,1.01,0.123,109,1
2367,-0.242,0.89,0.125,109,1
2368,-0.233,0.796,0.124,109,1
2369,-0.214,0.738,0.127,109,1
2370,-0.182,0.714,0.133,109,1
2371,-0.154,0.72,0.132,109,1
2372,-0.159,0.772,0.123,109,1
2373,-0.187,0.869,0.123,109,1
2374,-0.214,1.013,0.136,109,1
2375,-0.232,1.207,0.14,109,1
2376,-0.239,1.322,0.147,109,1
2377,-0.23,1.287,0.184,109,1
2378,-0.212,1.228,0.219,109,1
2379,-0.197,1.166,0.225,109,1
2380,-0.178,1.039,0.222,109,1
2381,-0.185,0.881,0.233,109,1
2382,-0.217,0.743,0.245,109,1
2383,-0.246,0.656,0.245,109,1
2384,-0.272,0.648,0.248,109,1
2385,-0.285,0.703,0.26,109,1
2386,-0.292,0.782,0.276,109,1
2387,-0.304,0.887,0.298,109,1
2388,-0.315,1.013,0.313,109,1
2389,-0.314,1.174,0.307,108,1
2390,-0.31,1.338,0.318,108,1
2391,-0.299,1.357,0.332,108,1
2392,-0.286,1.29,0.287,108,1
2393,-0.292,1.243,0.223,108,1
2394,-0.299,1.154,0.191,108,1
2395,-0.279,1.022,0.177,108,1
2396,-0.253,0.886,0.161,108,1
2397,-0.24,0.782,0.142,108,1
2398,-0.228,0.723,0.129,108,1
2399,-0.212,0.709,0.131,108,1
2400,-0.201,0.736,0.144,108,1
2401,-0.189,0.801,0.147,108,1
2402,-0.173,0.902,0.126,108,1
2403,-0.168,1.022,0.106,108,1
2404,-0.191,1.145,0.096,108,1
2405,-0.235,1.234,0.094,108,1
2406,-0.265,1.221,0.118,108,1
2407,-0.244,1.165,0.153,108,1
2408,-0.19,1.14,0.154,108,1
2409,-0.148,1.065,0.147,108,1
2410,-0.155,0.915,0.174,108,1
2411,-0.2,0.777,0.203,108,1
2412,-0.247,0.706,0.21,108,1
2413,-0.28,0.703,0.213,108,1
2414,-0.303,0.755,0.238,108,1
2415,-0.325,0.833,0.281,108,1
2416,-0.341,0.929,0.315,108,1
2417,-0.345,1.051,0.336,108,1
2418,-0.325,1.18,0.343,108,1
2419,-0.298,1.313,0.354,108,1
2420,-0.294,1.356,0.371,108,1
2421,-0.298,1.274,0.323,108,1
2422,-0.298,1.191,0.227,108,1
2423,-0.293,1.123,0.165,108,1
2424,-0.268,1.041,0.156,108,1
2425,-0.232,0.944,0.167,108,1
2426,-0.203,0.834,0.162,108,1
2427,-0.182,0.754,0.14,108,1
2428,-0.163,0.717,0.13,108,1
2429,-0.149,0.687,0.151,107,1
2430,-0.145,0.681,0.169,107,1
2431,-0.154,0.741,0.163,107,1
2432,-0.17,0.873,0.152,107,1
2433,-0.187,1.051,0.143,107,1
2434,-0.218,1.207,0.138,107,1
2435,-0.271,1.259,0.187,107,1
2436,-0.292,1.222,0.278,107,1
2437,-0.235,1.204,0.3,107,1
2438,-0.136,1.167,0.253,107,1
2439,-0.075,1.031,0.227,107,1
2440,-0.097,0.862,0.229,107,1
2441,-0.167,0.722,0.222,107,1
2442,-0.242,0.645,0.212,107,1
2443,-0.291,0.649,0.218,107,1
2444,-0.305,0.701,0.252,107,1
2445,-0.314,0.77,0.285,107,1
2446,-0.334,0.89,0.291,107,1
2447,-0.353,1.051,0.284,107,1
2448,-0.353,1.236,0.276,107,1
2449,-0.35,1.393,0.291,106,1
2450,-0.341,1.371,0.303,106,1
2451,-0.322,1.266,0.255,106,1
2452,-0.319,1.19,0.192,106,1
2453,-0.328,1.086,0.169,106,1
2454,-0.309,0.955,0.169,106,1
2455,-0.273,0.818,0.157,106,1
2456,-0.257,0.723,0.136,106,1
2457,-0.251,0.698,0.122,106,1
2458,-0.248,0.729,0.131,106,1
2459,-0.244,0.787,0.153,106,1
2460,-0.225,0.856,0.154,106,1
2461,-0.193,0.943,0.134,106,1
2462,-0.164,1.034,0.116,106,1
2463,-0.162,1.123,0.102,106,1
2464,-0.197,1.175,0.11,106,1
2465,-0.216,1.151,0.152,106,1
2466,-0.173,1.145,0.166,106,1
2467,-0.108,1.165,0.14,106,1
2468,-0.075,1.102,0.147,106,1
2469,-0.089,0.955,0.196,106,1
2470,-0.131,0.803,0.238,106,1
2471,-0.172,0.699,0.251,106,1
2472,-0.203,0.667,0.252,106,1
2473,-0.229,0.7,0.261,106,1
2474,-0.256,0.769,0.286,106,1
2475,-0.29,0.877,0.314,106,1
2476,-0.322,1.01,0.337,106,1
2477,-0.333,1.144,0.339,106,1
2478,-0.333,1.307,0.334,106,1
2479,-0.339,1.378,0.341,106,1
2480,-0.331,1.336,0.306,106,1
2481,-0.315,1.304,0.23,106,1
2482,-0.31,1.233,0.176,106,1
2483,-0.294,1.098,0.163,106,1
2484,-0.268,0.948,0.166,106,1
2485,-0.249,0.823,0.154,106,1
2486,-0.236,0.745,0.134,106,1
2487,-0.225,0.711,0.125,106,1
2488,-0.218,0.716,0.126,106,1
2489,-0.212,0.76,0.126,107,1
2490,-0.206,0.837,0.112,107,1
2491,-0.205,0.933,0.094,107,1
2492,-0.219,1.051,0.09,107,1
2493,-0.257,1.182,0.108,107,1
2494,-0.283,1.241,0.163,107,1
2495,-0.244,1.217,0.216,107,1
2496,-0.15,1.176,0.201,107,1
2497,-0.09,1.092,0.173,107,1
2498,-0.109,0.946,0.187,107,1
2499,-0.176,0.797,0.218,106,1
2500,-0.24,0.694,0.247,106,1
2501,-0.277,0.673,0.264,106,1
2502,-0.301,0.733,0.282,106,1
2503,-0.353,0.816,0.31,106,1
2504,-0.418,0.884,0.325,106,1
2505,-0.442,0.959,0.311,106,1
2506,-0.431,1.04,0.31,106,1
2507,-0.393,1.13,0.355,106,1
2508,-0.331,1.208,0.34,106,1
2509,-0.362,1.175,0.242,106,1
2510,-0.481,1.131,0.17,106,1
2511,-0.558,1.16,0.134,106,1
2512,-0.55,1.162,0.108,106,1
2513,-0.448,1.114,0.104,106,1
2514,-0.296,1.015,0.116,106,1
2515,-0.173,0.887,0.128,106,1
2516,-0.134,0.779,0.127,106,1
2517,-0.161,0.707,0.119,106,1
2518,-0.199,0.666,0.118,106,1
2519,-0.216,0.682,0.122,106,1
2520,-0.232,0.773,0.138,106,1
2521,-0.247,0.895,0.165,106,1
2522,-0.247,1.066,0.161,106,1
2523,-0.25,1.248,0.145,106,1
2524,-0.253,1.284,0.177,106,1
2525,-0.232,1.241,0.219,106,1
2526,-0.197,1.2,0.236,106,1
2527,-0.168,1.09,0.247,106,1
2528,-0.165,0.923,0.263,106,1
2529,-0.194,0.766,0.268,106,1
2530,-0.221,0.668,0.248,106,1
2531,-0.248,0.652,0.232,106,1
2532,-0.292,0.696,0.256,106,1
2533,-0.332,0.757,0.306,106,1
2534,-0.341,0.833,0.339,106,1
2535,-0.321,0.946,0.338,106,1
2536,-0.291,1.07,0.316,106,1
2537,-0.281,1.215,0.289,106,1
2538,-0.301,1.341,0.287,106,1
2539,-0.316,1.343,0.287,106,1
2540,-0.307,1.288,0.243,106,1
2541,-0.305,1.227,0.186,106,1
2542,-0.301,1.117,0.146,106,1
2543,-0.275,0.972,0.132,106,1
2544,-0.25,0.833,0.133,106,1
2545,-0.244,0.749,0.13,106,1
2546,-0.243,0.72,0.125,106,1
2547,-0.241,0.723,0.129,106,1
2548,-0.235,0.745,0.143,106,1
2549,-0.226,0.796,0.151,105,1
2550,-0.217,0.889,0.144,105,1
2551,-0.221,1.018,0.141,105,1
2552,-0.242,1.168,0.136,105,1
2553,-0.266,1.262,0.138,105,1
2554,-0.254,1.227,0.17,105,1
2555,-0.204,1.164,0.196,105,1
2556,-0.171,1.118,0.197,105,1
2557,-0.171,1.012,0.196,105,1
2558,-0.193,0.861,0.213,105,1
2559,-0.227,0.726,0.231,105,1
2560,-0.257,0.656,0.234,105,1
2561,-0.281,0.676,0.24,105,1
2562,-0.3,0.763,0.262,105,1
2563,-0.308,0.859,0.299,105,1
2564,-0.299,0.955,0.334,105,1
2565,-0.283,1.059,0.344,105,1
2566,-0.271,1.169,0.333,105,1
2567,-0.287,1.298,0.34,105,1
2568,-0.327,1.348,0.364,105,1
2569,-0.328,1.291,0.332,105,1
2570,-0.298,1.24,0.246,105,1
2571,-0.283,1.185,0.182,105,1
2572,-0.275,1.081,0.158,105,1
2573,-0.261,0.949,0.15,105,1
2574,-0.242,0.823,0.141,105,1
2575,-0.226,0.738,0.128,105,1
2576,-0.213,0.715,0.112,105,1
