Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),Activity
-0.4,-0.913,-0.034,64,0
-0.394,-0.914,-0.032,64,0
-0.392,-0.914,-0.032,64,0
-0.395,-0.913,-0.033,64,0
-0.399,-0.913,-0.031,64,0
-0.396,-0.914,-0.031,64,0
-0.396,-0.916,-0.034,64,0
-0.398,-0.919,-0.034,64,0
-0.396,-0.919,-0.029,64,0
-0.393,-0.914,-0.029,64,0
-0.393,-0.912,-0.032,64,0
-0.4,-0.918,-0.029,64,0
-0.4,-0.92,-0.028,64,0
-0.392,-0.912,-0.033,64,0
-0.393,-0.904,-0.033,64,0
-0.407,-0.906,-0.028,64,0
-0.418,-0.913,-0.027,65,0
-0.414,-0.911,-0.031,65,0
-0.414,-0.903,-0.036,65,0
-0.428,-0.905,-0.037,65,0
-0.422,-0.907,-0.033,65,0
-0.399,-0.906,-0.027,65,0
-0.391,-0.908,-0.024,65,0
-0.394,-0.908,-0.028,65,0
-0.405,-0.91,-0.029,65,0
-0.415,-0.915,-0.021,65,0
-0.418,-0.912,-0.019,66,0
-0.412,-0.905,-0.027,66,0
-0.401,-0.906,-0.032,66,0
-0.392,-0.916,-0.034,66,0
-0.385,-0.919,-0.032,66,0
-0.385,-0.916,-0.027,66,0
-0.389,-0.921,-0.027,66,0
-0.391,-0.926,-0.028,66,0
-0.39,-0.921,-0.03,66,0
-0.388,-0.914,-0.034,66,0
-0.389,-0.917,-0.033,66,0
-0.385,-0.928,-0.034,66,0
-0.366,-0.938,-0.041,66,0
-0.34,-0.941,-0.033,66,0
-0.345,-0.935,-0.022,66,0
-0.376,-0.923,-0.028,66,0
-0.391,-0.917,-0.034,66,0
-0.387,-0.919,-0.028,66,0
-0.381,-0.922,-0.026,66,0
-0.383,-0.924,-0.037,66,0
-0.381,-0.926,-0.045,67,0
-0.375,-0.925,-0.038,67,0
-0.379,-0.926,-0.035,67,0
-0.394,-0.928,-0.041,67,0
-0.405,-0.918,-0.042,67,0
-0.401,-0.904,-0.04,67,0
-0.396,-0.905,-0.042,67,0
-0.398,-0.914,-0.043,67,0
-0.398,-0.919,-0.041,67,0
-0.394,-0.922,-0.041,67,0
-0.389,-0.922,-0.043,67,0
-0.387,-0.92,-0.046,67,0
-0.385,-0.92,-0.051,67,0
-0.383,-0.927,-0.053,67,0
-0.384,-0.934,-0.052,67,0
-0.384,-0.934,-0.052,67,0
-0.381,-0.932,-0.053,67,0
-0.377,-0.932,-0.056,67,0
-0.379,-0.932,-0.059,67,0
-0.385,-0.922,-0.06,67,0
-0.385,-0.912,-0.056,68,0
-0.383,-0.916,-0.052,68,0
-0.387,-0.925,-0.054,68,0
-0.393,-0.93,-0.058,68,0
-0.394,-0.93,-0.061,68,0
-0.399,-0.929,-0.06,68,0
-0.405,-0.923,-0.058,68,0
-0.399,-0.909,-0.053,68,0
-0.392,-0.9,-0.045,68,0
-0.394,-0.902,-0.043,68,0
-0.398,-0.907,-0.045,68,0
-0.399,-0.913,-0.042,68,0
-0.397,-0.919,-0.037,68,0
-0.396,-0.921,-0.041,68,0
-0.395,-0.918,-0.048,68,0
-0.392,-0.916,-0.047,68,0
-0.39,-0.92,-0.045,68,0
-0.389,-0.922,-0.046,68,0
-0.389,-0.917,-0.048,68,0
-0.388,-0.916,-0.054,68,0
-0.39,-0.922,-0.058,67,0
-0.393,-0.927,-0.056,67,0
-0.397,-0.929,-0.051,67,0
-0.398,-0.926,-0.046,67,0
-0.392,-0.92,-0.043,67,0
